		#naca0018		
#group	#point	#x_cord	#y_cord	#z_cord
1	565	0,80178	0,03827	0,0000
1	566	0,80334	0,038003	0,0000
1	567	0,8049	0,037737	0,0000
1	568	0,80645	0,037471	0,0000
1	569	0,808	0,037205	0,0000
1	570	0,80955	0,03694	0,0000
1	571	0,81109	0,036675	0,0000
1	572	0,81262	0,03641	0,0000
1	573	0,81415	0,036145	0,0000
1	574	0,81568	0,035881	0,0000
1	575	0,8172	0,035617	0,0000
1	576	0,81871	0,035354	0,0000
1	577	0,82022	0,035091	0,0000
1	578	0,82173	0,034828	0,0000
1	579	0,82323	0,034565	0,0000
1	580	0,82472	0,034303	0,0000
1	581	0,82621	0,034042	0,0000
1	582	0,8277	0,033781	0,0000
1	583	0,82918	0,03352	0,0000
1	584	0,83066	0,03326	0,0000
1	585	0,83213	0,033	0,0000
1	586	0,83359	0,03274	0,0000
1	587	0,83505	0,032481	0,0000
1	588	0,83651	0,032222	0,0000
1	589	0,83796	0,031964	0,0000
1	590	0,8394	0,031707	0,0000
1	591	0,84084	0,03145	0,0000
1	592	0,84227	0,031193	0,0000
1	593	0,8437	0,030937	0,0000
1	594	0,84513	0,030681	0,0000
1	595	0,84654	0,030426	0,0000
1	596	0,84796	0,030171	0,0000
1	597	0,84936	0,029917	0,0000
1	598	0,85077	0,029663	0,0000
1	599	0,85216	0,02941	0,0000
1	600	0,85355	0,029158	0,0000
1	601	0,85494	0,028906	0,0000
1	602	0,85632	0,028654	0,0000
1	603	0,85769	0,028404	0,0000
1	604	0,85906	0,028153	0,0000
1	605	0,86043	0,027904	0,0000
1	606	0,86178	0,027655	0,0000
1	607	0,86314	0,027406	0,0000
1	608	0,86448	0,027159	0,0000
1	609	0,86583	0,026911	0,0000
1	610	0,86716	0,026665	0,0000
1	611	0,86849	0,026419	0,0000
1	612	0,86982	0,026174	0,0000
1	613	0,87113	0,025929	0,0000
1	614	0,87245	0,025685	0,0000
1	615	0,87375	0,025442	0,0000
1	616	0,87506	0,0252	0,0000
1	617	0,87635	0,024958	0,0000
1	618	0,87764	0,024717	0,0000
1	619	0,87892	0,024476	0,0000
1	620	0,8802	0,024237	0,0000
1	621	0,88148	0,023998	0,0000
1	622	0,88274	0,023759	0,0000
1	623	0,884	0,023522	0,0000
1	624	0,88526	0,023285	0,0000
1	625	0,88651	0,023049	0,0000
1	626	0,88775	0,022814	0,0000
1	627	0,88898	0,02258	0,0000
1	628	0,89022	0,022346	0,0000
1	629	0,89144	0,022113	0,0000
1	630	0,89266	0,021881	0,0000
1	631	0,89387	0,02165	0,0000
1	632	0,89508	0,021419	0,0000
1	633	0,89628	0,02119	0,0000
1	634	0,89747	0,020961	0,0000
1	635	0,89866	0,020733	0,0000
1	636	0,89984	0,020506	0,0000
1	637	0,90102	0,02028	0,0000
1	638	0,90219	0,020054	0,0000
1	639	0,90335	0,01983	0,0000
1	640	0,90451	0,019606	0,0000
1	641	0,90566	0,019384	0,0000
1	642	0,9068	0,019162	0,0000
1	643	0,90794	0,018941	0,0000
1	644	0,90907	0,018721	0,0000
1	645	0,9102	0,018502	0,0000
1	646	0,91132	0,018284	0,0000
